Serial Number of system during year	Basin of origin	Name	Date (DD/MM/YYYY)	Time (UTC)	Latitude (lat.)	Longitude (lon.)	"CI No [or ""T. No""]"	"Estimated Central Pressure (hPa) [or ""E.C.P""]"	Maximum Sustained Surface Wind (kt) 	"Pressure Drop (hPa)[or ""delta P""]"	Grade (text)	Outermost closed isobar (hPa)	Diameter/Size of outermost closed isobar (in degree)
5_1982	BOB		19/07/1982		SYSTEM CROSSED ODISHA COAST BET GOPALPUR AND PURI AROUND EARLY NIGHT (0800-1000 IST) OR BETWEEN 1430-1630 UTC OF 19 JULY.								
5_1982	BOB		20/07/1982	0000	19.5	85.0	1.5		20.0	3.0	D		
5_1982	BOB		20/07/1982	0300	WML OVER CENTRAL ODISHA 								
6_1982	LAND		02/08/1982	0300	23.0	90.0			25.0	3.0	D		
6_1982	LAND		02/08/1982	1200	23.0	90.0			25.0	3.0	D		
6_1982	LAND		03/08/1982	0300	25.0	90.0			25.0	3.0	D		
6_1982	LAND		03/08/1982	1200	25.5	90.5			25.0	3.0	D		
6_1982	LAND		04/08/1982	0300	25.7	89.5			25.0	3.0	D		
6_1982	LAND		05/08/1982	1200	WEAKENED INTO A WML OVER SUB HIMALAYAN WEST BENGAL								
7_1982	BOB		12/08/1982	0300	20.0	88.5	1.5		25.0	3.0995834159888913	D		
7_1982	BOB		12/08/1982	1200	20.5	87.5	1.5		25.0	3.0995834159888913	D		
7_1982	BOB		12/08/1982	1800	20.5	87.0	1.5		25.0	3.0995834159888913	D		
7_1982	BOB		12/08/1982		CROSSED ODISHA COAST NEAR CHANDBALI IN EARLY MORINING (0430-0530) OF 13TH OR 2300 UTC OF 12TH OF 000 UTC OF 13TH AUG								
7_1982	BOB		13/08/1982	0000	Weakend into well marked low pressure area over north Odisha and adjoining Thailand								
8_1982	BOB		18/08/1982	0300	21.0	88.0			25.0	3.0	D		
8_1982	BOB		18/08/1982	1200	21.5	87.5			25.0	3.0	D		
8_1982	BOB		18/08/1982		CROSSED NORTH ODISHA WEST BENGAL COAST BETWEEN BALASORE AND CONTEI IN THE NEIGHT OF 18TH AUG (2000-2400 IST )1500-1800 UTC								
8_1982	BOB		19/08/1982	0300	22.0	86.5	-		25.0	3.0	D		
8_1982	BOB		19/08/1982	1200	22.2	86.0	-		25.0	3.0	D		
8_1982	BOB		20/08/1982	0300	WEAKENED INTO A WML OVER THAILAND AND ADJOINING NORTH ODISHA AND CHATTISGARH.								
9_1982	LAND		25/08/1982	0300	26.0	80.0			25.0	3.0	D		
9_1982	LAND		25/08/1982	1200	WEAKENED INTO A WML OVER CENTRAL UP								
10_1982	BOB		27/08/1982	0300	19.0	88.5	1.5		25.0	3.0	D		
10_1982	BOB		27/08/1982	1200	20.0	88.0	1.5		25.0	4.0	D		
10_1982	BOB		27/08/1982		CROSSED ODISHA COAST NEAR BALASOREON 28TH NIGHT (Between 1500 & 1800 UTC)								
10_1982	BOB		28/08/1982	0300	21.0	88.0	1.5		25.0	4.0	D		
10_1982	BOB		28/08/1982	1200	21.2	87.7	1.5		25.0	4.0	D		
10_1982	BOB		29/08/1982	0300	20.5	85.5	1.5		25.0	4.0	D		
10_1982	BOB		29/08/1982	1200	21.0	85.0	1.5		25.0	4.0	D		
10_1982	BOB		30/08/1982	0300	22.0	85.0	1.5		25.0	4.0	D		
10_1982	BOB		30/08/1982	1200	23.0	85.0	1.5		25.0	4.0	D		
10_1982	BOB		31/08/1982	0300	24.0	84.5			25.0	4.0	D		
10_1982	BOB		31/08/1982	1200	25.0	82.0			25.0	4.0	D		
10_1982	BOB		01/09/1982	0300	25.0	81.5			20.0	3.0	D		
10_1982	BOB		01/09/1982	1200	25.0	81.3			20.0	3.0	D		
10_1982	BOB		02/09/1982	0300	25.0	81.0			20.0	3.0	D		
10_1982	BOB		02/09/1982	1200	25.5	80.0			20.0	3.0	D		
10_1982	BOB		02/09/1982	1800	WEAKENED INTO A WML OVER WEST UP								
11_1982	BOB		09/09/1982	0300	18.0	89.0	1.5		25.0	3.0	D		
11_1982	BOB		09/09/1982	1200	18.5	87.0	1.5		25.0	3.0	D		
11_1982	BOB		09/09/1982		CROSSED ODISHA COAST NEAR PURI ON 10TH MORNING (0000-0100 UTC)								
11_1982	BOB		10/09/1982	0300	20.5	85.5	1.5		25.0	3.0	D		
11_1982	BOB		10/09/1982	1200	WEAKENED INTO A WML OVER NORTH INTERIOR ODISHA AND ADJOINING CHATTISGARH 								
12_1982	BOB		29/09/1982	0000	22.0	91.5	2.0		30.0	3.0	DD		
12_1982	BOB		29/09/1982		CROSSED BANGLADESH COAST NEAR CHITTAGONG BETWEEN 0100 AND 0200 UTC OF 29TH SEP 1982								
12_1982	BOB		29/09/1982	0300	22.5	92.0			30.0	3.0	DD		
12_1982	BOB		29/09/1982	1200	WEAKENED INTO A WML OVER ASSAM AND NEIGHBOURHOOD								
13_1982	ARB		01/10/1982	0300	13.5	71.0	1.5		25.0	3.0	D		
13_1982	ARB		01/10/1982	1200	14.0	70.0	2.0		30.0	5.0	DD		
13_1982	ARB		02/10/1982	0300	14.5	69.0	1.5		25.0	3.0	D		
13_1982	ARB		02/10/1982	1200	WEAKENED INTO A WML OVER EASTCENTRAL ARABAIAN SEA								
14_1982	BOB		15/10/1982	0300	15.5	86.5	2.0		30.0	5.0	DD		
14_1982	BOB		15/10/1982	1200	16.0	85.5	2.5		35.0	7.0	CS		
14_1982	BOB		15/10/1982	1800	16.3	84.5	3.0		45.0	10.0	CS		
14_1982	BOB		16/10/1982	0000	16.5	83.5	3.5		55.0	16.0	SCS		
14_1982	BOB		16/10/1982	0300	16.5	83.0	3.0		50.0	14.0	SCS		
14_1982	BOB		16/10/1982	1200	17.0	82.5	2.5		40.0	8.0	CS		
14_1982	BOB		16/10/1982	1800	17.1	82.5	1.5		25.0	4.0	DD		
14_1982	BOB		17/10/1982	0000	WEAKENED NEAR SEA AND CROSSED AP COAST AS A WML NEAR KARNATAKA								
15_1982	BOB		16/10/1982	1200	9.4	84.0	1.5	990.0	25.0	3.0	D		
15_1982	BOB		17/10/1982	0300		83.0	2.0	992.0	30.0	4.0	DD		
15_1982	BOB		17/10/1982	1200	11.0	82.5	2.0	992.0	30.0	4.0	DD		
15_1982	BOB		17/10/1982	1800	12.0	82.0	2.5	994.0	35.0	6.0	CS		
15_1982	BOB		18/10/1982	0000	12.5	81.5	3.0	986.0	50.0	14.0	SCS		
15_1982	BOB		18/10/1982	0300	12.7	81.5	3.5	982.0	55.0	18.0	SCS		
15_1982	BOB		18/10/1982	1200	14.0	80.5	3.5	982.0	55.0	18.0	SCS		
15_1982	BOB		18/10/1982	1800	14.5	80.0	3.0	986.0	50.0	14.0	SCS		
15_1982	BOB		18/10/1982		CROSSED SOUTH AP COAST BETWEEN SRIHARIKOTA AND DURGARAJPATNAM BET 1600-1700 UTC OF 18TH 								
15_1982	BOB		19/10/1982	0000	15.0	79.5		995.0	30.0	5.0	DD		
15_1982	BOB		19/10/1982	0300	15.0	79.0		996.0	30.0	4.0	DD		
15_1982	BOB		19/10/1982	1200	16.0	78.5		997.0	25.0	3.0	D		
15_1982	BOB		20/10/1982	0300	17.0	78.5		998.0	20.0	3.0	D		
15_1982	BOB		20/10/1982	1200	18.0	78.3		998.0	20.0	3.0	D		
15_1982	BOB		21/10/1982	0300	19.0	79.2		998.0	20.0	3.0	D		
15_1982	BOB		21/10/1982	1200	21.0	81.0		998.0	20.0	3.0	D		
15_1982	BOB		22/10/1982	0300	WEAKENED INTO A WML OVER SOUTH TAMILNADU AND NEIGHBOURHOOD								
16_1982	ARB		04/11/1982	1200	11.5	66.0	1.5	999.0	25.0	3.0	D		
16_1982	ARB		05/11/1982	0000	11.7	65.7	2.0	997.0	30.0	5.0	DD		
16_1982	ARB		05/11/1982	0300	12.5	65.0	2.5	995.0	35.0	7.0	CS		
16_1982	ARB		05/11/1982	1200	13.0	65.0	2.5	994.0	40.0	8.0	CS		
16_1982	ARB		06/11/1982	0000	13.5	65.3	3.0	992.0	45.0	10.0	CS		
16_1982	ARB		06/11/1982	0300	14.0	65.5	3.5	986.0	55.0	16.0	SCS		
16_1982	ARB		06/11/1982	1200	14.5	66.0	3.5	982.0	60.0	18.0	SCS		
16_1982	ARB		07/11/1982	0300	15.5	66.5	3.5	982.0	60.0	20.0	SCS		
16_1982	ARB		07/11/1982	1200	16.5	67.5	4.0	980.0	65.0	22.0	VSCS		
16_1982	ARB		08/11/1982	0300	18.5	70.0	4.5	970.0	80.0	30.0	VSCS		
16_1982	ARB		08/11/1982	1200	20.5	70.5	5.0	962.0	90.0	40.0	ESCS		
16_1982	ARB		08/11/1982		CROSSED GUJARAT  COAST CLOSE TO EAST OF BETWEEN 1100 & 1200 UTC OF 8TH NOV								
16_1982	ARB		09/11/1982	0000	22.5	73.0		990.0	50.0	12.0	SCS		
16_1982	ARB		09/11/1982	0300	23.0	73.5		995.0	35.0	7.0	CS		
16_1982	ARB		09/11/1982	1200	23.5	75.0		999.0	25.0	3.0	D		
16_1982	ARB		10/11/1982	0300	WEAKENED INTO A WML OVER SOUTHWEST MADHYA PRADESH								
17_1982	BOB		28/11/1982	0300	7.0	88.0	1.5		25.0	3.0	D		
17_1982	BOB		28/11/1982	1200	7.5	85.5	2.0		30.0	5.0	DD		
17_1982	BOB		29/11/1982	0300	8.5	83.5	1.5		25.0	4.0	D		
17_1982	BOB		29/11/1982	1200	WEAKENED INTO A WML OVER SOUTHWEST BAY OFF SRILANKA COAST								
18_1982	ARB		28/11/1982	1200	9.0	67.0	1.5		25.0	3.0	D		
18_1982	ARB		29/11/1982	0300	11.0	67.5	2.0		30.0	5.0	DD		
18_1982	ARB		29/11/1982	0600	11.5	68.0	1.5		25.0	3.0	D		
18_1982	ARB		29/11/1982	1200	WEAKENED INTO A WML OVER SOUTHWEST AND ADJOINING EASTCENTRAL ARABIAN SEA								
19_1982	BOB		02/12/1982	1200	7.5	84.0	1.5		25.0	3.0	D		
19_1982	BOB		03/12/1982	0300	9.0	82.0	1.5		25.0	3.0	D		
19_1982	BOB		03/12/1982	1200	9.5	79.5	1.5		25.0	3.0	D		
19_1982	BOB		04/12/1982	0000	9.7	79.0	1.5		25.0	3.0	D		
19_1982	BOB		04/12/1982		CROSSED SOUTH TAMILNADU COAST NEAR TONDI BETWEEN 0000 AND 0200 UTC OF 4TH 								
19_1982	BOB		05/12/1982	0300	WEAKENED INTO A WML OVER SOUTH TAMILNADU AND NEIGHBOURHOOD								
1_1983	ARB 		20/06/1983	0300	20.5	71.0	1.5		25.0	3.0995834159888913	D		
1_1983	ARB 		20/06/1983	1200	21.0	70.0	-		25.0	3.0995834159888913	D		
1_1983	ARB 		20/06/1983	1800	21.5	70.0	-		25.0	3.0995834159888913	D		
1_1983	ARB 		21/06/1983	0300	22.0	70.5	-		25.0	3.0995834159888913	D		
1_1983	ARB 		22/06/1983	0300	22.5	71.0	-		25.0	3.0995834159888913	D		
1_1983	ARB 		22/06/1983	1200	23.0	71.5	-		25.0	3.0995834159888913	D		
2_1983	BOB		24/06/1983	0300	18.0	87.0	2.0		30.0	4.463400119024003	DD		
2_1983	BOB		24/06/1983	1200	18.0	86.5	2.0		30.0	4.463400119024003	DD		
2_1983	BOB		24/06/1983	1800	18.5	86.0	2.0		30.0	4.463400119024003	DD		
2_1983	BOB		25/06/1983	0300	19.0	85.5	2.0		30.0	4.463400119024003	DD		
2_1983	BOB		25/06/1983	1200	19.5	85.0	2.0		30.0	4.463400119024003	DD		
2_1983	BOB		25/06/1983	1800	19.5	84.5	2.0		30.0	4.463400119024003	DD		
2_1983	BOB		26/06/1983	0300	20.0	83.5	-		25.0	3.0995834159888913	D		
2_1983	BOB		26/06/1983	1200	21.0	83.0	-		25.0	3.0995834159888913	D		
2_1983	BOB		27/06/1983	0300	22.0	81.0	-		25.0	3.0995834159888913	D		
2_1983	BOB		27/06/1983	1200	23.5	78.0	-		25.0	3.0995834159888913	D		
3_1983	LAND		04/08/1983	0000	23.0	87.5	-		25.0	3.0995834159888913	D		
3_1983	LAND		04/08/1983	0300	23.5	87.5	-		25.0	3.0995834159888913	D		
3_1983	LAND		04/08/1983	0600	24.0	88.0	-		25.0	3.0995834159888913	D		
3_1983	LAND		04/08/1983	1200	24.0	89.0	-		25.0	3.0995834159888913	D		
3_1983	LAND		04/08/1983	1800	23.0	89.0	-		25.0	3.0995834159888913	D		
3_1983	LAND		05/08/1983	0300	22.5	88.5	-		30.0	4.463400119024003	DD		
3_1983	LAND		05/08/1983	1200	23.0	87.0	-		30.0	4.463400119024003	DD		
3_1983	LAND		06/08/1983	0300	22.5	86.0	-		30.0	4.463400119024003	DD		
3_1983	LAND		06/08/1983	1200	22.5	84.5	-		30.0	4.463400119024003	DD		
3_1983	LAND		07/08/1983	0300	21.0	81.5	-		30.0	4.463400119024003	DD		
3_1983	LAND		07/08/1983	1200	21.0	80.0	-		25.0	3.0995834159888913	D		
3_1983	LAND		08/08/1983	0000	21.5	72.5	-		25.0	3.0995834159888913	D		
3_1983	LAND		08/08/1983	0300	21.5	72.5	-		25.0	3.0995834159888913	D		
3_1983	LAND		08/08/1983	0600	21.5	72.0	-		25.0	3.0995834159888913	D		
3_1983	LAND		08/08/1983	1200	22.0	70.5	2		30.0	4.463400119024003	DD		
3_1983	LAND		08/08/1983	1800	22.0	69.5	2		30.0	4.463400119024003	DD		
3_1983	LAND		09/08/1983	0300	22.5	66.5	2		30.0	4.463400119024003	DD		
3_1983	LAND		09/08/1983	1200	22.5	62.0	2		30.0	4.463400119024003	DD		
3_1983	LAND		09/08/1983	1800	22.0	61.0	2		30.0	4.463400119024003	DD		
3_1983	LAND		10/08/1983	0300	21.5	60.0	2		30.0	4.463400119024003	DD		
3_1983	LAND		10/08/1983		System crossed Oman Coast around noon of 10th 								
3_1983	LAND		10/08/1983	1200	21.5	59.0	-		25.0	3.0995834159888913	D		
3_1983	LAND		10/08/1983	1800	21.5	57.5	-		25.0	3.0995834159888913	D		
4_1983	LAND	 	09/09/1983	0000	25.0	82.5	-		25.0	3.0995834159888913	D		
4_1983	LAND		09/09/1983	0300	24.5	82.0	-		25.0	3.0995834159888913	D		
4_1983	LAND		09/09/1983	0600	24.5	81.0	-		25.0	3.0995834159888913	D		
4_1983	LAND		09/09/1983	1200	24.5	80.0	-		25.0	3.0995834159888913	D		
4_1983	LAND		09/09/1983	1800	25.0	79.5	-		25.0	3.0995834159888913	D		
4_1983	LAND		10/09/1983	0000	25.5	79.5	-		25.0	3.0995834159888913	D		
4_1983	LAND		10/09/1983	0300	27.0	80.0	-		25.0	3.0995834159888913	D		
4_1983	LAND		10/09/1983	0600	27.5	80.0	-		25.0	3.0995834159888913	D		
4_1983	LAND		10/09/1983	1200	28.0	79.5	-		25.0	3.0995834159888913	D		
4_1983	LAND		11/09/1983	0300	Weakend into a low pressure area over west UP and neighbourhood								
5_1983	BOB	HERBERT	14/10/1983	0300	19.0	91.0	1.5		25.0	3.0995834159888913	D		
5_1983	BOB	HERBERT	14/10/1983	1200	19.5	90.5	3.5		55.0	15.001983733386234	SCS		
5_1983	BOB	HERBERT	15/10/1983	0300	21.5	91.5	3.5		55.0	15.001983733386234	SCS		
5_1983	BOB	HERBERT	15/10/1983	1200	21.5	91.5	3.0		45.0	10.042650267804008	CS		
5_1983	BOB	HERBERT	15/10/1983	1500	 rapidly weaken into low pressure area  								
6_1983	BOB		06/11/1983	0300	12.0	88.5	1.5		25.0	3.0995834159888913	D		
6_1983	BOB		06/11/1983	1200	13.0	87.5	2.5		40.0	7.934933544931562	DD		
6_1983	BOB		07/11/1983	0300	15.5	88.5	3.0		45.0	10.042650267804008	CS		
6_1983	BOB		07/11/1983	1200	15.5	88.5	3.0		45.0	10.042650267804008	CS		
6_1983	BOB		08/11/1983	0300	17.0	89.0	4.0		65.0	20.953183892084905	VSCS		
6_1983	BOB		08/11/1983	1200	18.5	90.0	5.0		90.0	40.17060107121603	ESCS		
6_1983	BOB		09/11/1983	0300	19.5	91.0	5.0		90.0	40.17060107121603	ESCS		
7_1983	LAND		21/12/1983	1200	7.5	81.0	1.5		25.0	3.0995834159888913	D		
7_1983	LAND		22/12/1983	0300	8.5	80.5	1.5		25.0	3.0995834159888913	D		
7_1983	LAND		22/12/1983	1200	9.5	79.5	1.5		25.0	3.0995834159888913	D		
7_1983	LAND		23/12/1983	0300			1.5		25.0	3.0995834159888913	D		
7_1983	LAND		23/12/1983	1200	weaken into low pressure area								
1_1984	ARB		05/06/1984	1200	18.5	67.5	1.5		25.0	3.0995834159888913	D		
1_1984	ARB		06/06/1984	0300	20.0	67.5	1.5		25.0	3.0995834159888913	D		
1_1984	ARB		06/06/1984	1200	21.5	67.5	1.5		25.0	3.0995834159888913	D		
1_1984	ARB		07/06/1984	0300	Weakend into low pressure area								
2_1984	BOB		31/07/1984	0300	20.0	88.5	1.5		25.0	3.0995834159888913	D		
2_1984	BOB		31/07/1984	1200	20.0	86.5	1.5		25.0	3.0995834159888913	D		
2_1984	BOB		31/07/1984		CROSSED COAST CLOSE TO PARADIP BEFORE 1200 UTC								
2_1984	BOB		01/08/1984	0300	20.5	85.0	-		25.0	3.0995834159888913	D		
2_1984	BOB		01/08/1984	1200	21.0	84.0	-		25.0	3.0995834159888913	D		
2_1984	BOB		02/08/1984	0300	22.0	82.0	-		25.0	3.0995834159888913	D		
2_1984	BOB		02/08/1984	1200	23.0	80.5	-		25.0	3.0995834159888913	D		
2_1984	BOB		03/08/1984	0300	23.5	79.0	-		25.0	3.0995834159888913	D		
2_1984	BOB		03/08/1984	1200	24.0	77.0	-		25.0	3.0995834159888913	D		
2_1984	BOB		03/08/1984	1800	24.5	76.0	-		25.0	3.0995834159888913	D		
2_1984	BOB		04/08/1984	0300	25.0	75.0	-		25.0	3.0995834159888913	D		
2_1984	BOB		04/08/1984	1200	26.0	73.0	-		25.0	3.0995834159888913	D		
2_1984	BOB		05/08/1984	0300	25.5	71.5	-		25.0	3.0995834159888913	D		
2_1984	BOB		05/08/1984	1200	25.5	70.5	-		25.0	3.0995834159888913	D		
2_1984	BOB		06/08/1984	0300	25.5	69.0	-		25.0	3.0995834159888913	D		
2_1984	BOB		06/08/1984	1200	25.0	67.0	-		25.0	3.0995834159888913	D		
2_1984	BOB		07/08/1984	0300	25.5	69.0	-		25.0	3.0995834159888913	D		
2_1984	BOB		07/08/1984	1200	25.0	67.0	-		25.0	3.0995834159888913	D		
2_1984	BOB		07/08/1984	1800	25.0	67.0	1.5		25.0	3.0995834159888913	D		
2_1984	BOB		08/08/1984	0300	Weakend into low pressure area over sea								
3_1984	BOB		15/08/1984	0000	19.5	90.5	1.5		25.0	3.0995834159888913	D		
3_1984	BOB		15/08/1984	0300	20.0	90.0	1.5		25.0	3.0995834159888913	D		
3_1984	BOB		15/08/1984	1200	21.0	87.0	1.5		25.0	3.0995834159888913	D		
3_1984	BOB		15/08/1984		CROSSED COAST CLOSE TO CHANDBALI AROUND 1200 UTC OF 15TH 								
3_1984	BOB		16/08/1984	0300	21.7	86.5	-		25.0	3.0995834159888913	D		
3_1984	BOB		16/08/1984	1200	22.0	85.5	-		25.0	3.0995834159888913	D		
3_1984	BOB		17/08/1984	0300	23.0	84.0	-		25.0	3.0995834159888913	D		
3_1984	BOB		17/08/1984	1200	24.0	82.5	-		25.0	3.0995834159888913	D		
3_1984	BOB		18/08/1984	0300	23.5	80.5	-		25.0	3.0995834159888913	D		
3_1984	BOB		18/08/1984	1200	23.5	78.5	-		25.0	3.0995834159888913	D		
3_1984	BOB		19/08/1984	0300	24.5	78.5	-		25.0	3.0995834159888913	D		
3_1984	BOB		19/08/1984	1200	25.5	78.5	-		25.0	3.0995834159888913	D		
4_1984	BOB		13/10/1984	0000	19.0	88.0	1.5		25.0	3.0995834159888913	D		
4_1984	BOB		13/10/1984	0300	19.5	87.5	1.5		25.0	3.0995834159888913	D		
4_1984	BOB		13/10/1984	1200	20.5	87.5	4.0		65.0	20.953183892084905	VSCS		
4_1984	BOB		13/10/1984		SYSTEM CROSSED COAST  CHANDBALI IN THE EVENING OF 14TH  BETWEEN 02 TO 03 UTC								
4_1984	BOB		14/10/1984	0300	20.7	86.8	-		55.0	15.001983733386234	SCS		
4_1984	BOB		14/10/1984	1200	21.5	86.0	-		35.0	8.0	CS		
4_1984	BOB		15/10/1984	0300	22.5	85.0	-		25.0	4.0	D		
4_1984	BOB		15/10/1984	1200	23.5	84.5	-		20.0	3.0	D		
4_1984	BOB		15/10/1984		Weakend into well marked low pressure area								
5_1984	BOB		09/11/1984	1200	9.5	87.5	1.5		25.0	3.0995834159888913	D		
5_1984	BOB		10/11/1984	0300	9.5	87.5	2.0		30.0	5.0	DD		
5_1984	BOB		10/11/1984	1200	10.0	86.0	2.0		30.0	5.0	DD		
5_1984	BOB		10/11/1984	1800	10.0	84.0	2.0		30.0	5.0	DD		
5_1984	BOB		11/11/1984	0300	10.5	82.5	2.0		30.0	5.0	DD		
5_1984	BOB		11/11/1984	0600	10.8	82.0	2.5		35.0	6.075183495338227	DD		
5_1984	BOB		11/11/1984	1200	11.0	81.5	2.5		40.0	8.0	CS		
5_1984	BOB		12/11/1984	0300	12.0	80.5	3.5		55.0	15.001983733386234	SCS		
5_1984	BOB		12/11/1984	1200	12.5	80.5	5.0		90.0	40.17060107121603	ESCS		
